Row ID	Order ID	Order Date	Ship Date	Ship Mode	Customer ID	Country	City	State	Postal Code	Region	Product ID	Quantity
1	CA-2017-152156	11/8/2017	11/11/2017	Second Class	CG-12520	United States	Henderson	Kentucky	42420	South	FUR-BO-10001798	2
2	CA-2017-152156	11/8/2017	11/11/2017	Second Class	CG-12520	United States	Henderson	Kentucky	42420	South	FUR-CH-10000454	3
3	CA-2017-138688	6/12/2017	6/16/2017	Second Class	DV-13045	United States	Los Angeles	California	90036	West	OFF-LA-10000240	2
9987	CA-2017-125794	9/29/2017	10/3/2017	Standard Class	ML-17410	United States	Los Angeles	California	90008	West	TEC-AC-10003399	1
9984	US-2017-157728	9/22/2017	9/28/2017	Standard Class	RC-19960	United States	Grand Rapids	Michigan	49505	Central	TEC-PH-10001305	2
9983	US-2017-157728	9/22/2017	9/28/2017	Standard Class	RC-19960	United States	Grand Rapids	Michigan	49505	Central	OFF-PA-10002195	7
9980	US-2017-103674	12/6/2017	12/10/2017	Standard Class	AP-10720	United States	Los Angeles	California	90032	West	OFF-BI-10002026	14
9979	US-2017-103674	12/6/2017	12/10/2017	Standard Class	AP-10720	United States	Los Angeles	California	90032	West	OFF-BI-10003727	4
9978	US-2017-103674	12/6/2017	12/10/2017	Standard Class	AP-10720	United States	Los Angeles	California	90032	West	OFF-FA-10003467	7
9977	US-2017-103674	12/6/2017	12/10/2017	Standard Class	AP-10720	United States	Los Angeles	California	90032	West	TEC-PH-10002496	2
9976	US-2017-103674	12/6/2017	12/10/2017	Standard Class	AP-10720	United States	Los Angeles	California	90032	West	OFF-PA-10000743	2
9975	US-2017-103674	12/6/2017	12/10/2017	Standard Class	AP-10720	United States	Los Angeles	California	90032	West	OFF-AR-10004752	7
9974	US-2017-103674	12/6/2017	12/10/2017	Standard Class	AP-10720	United States	Los Angeles	California	90032	West	TEC-PH-10004080	5
14	CA-2017-161389	12/5/2017	12/10/2017	Standard Class	IM-15070	United States	Seattle	Washington	98103	West	OFF-BI-10003656	3
9973	CA-2017-130225	9/11/2017	9/17/2017	Standard Class	RC-19960	United States	Houston	Texas	77041	Central	OFF-EN-10000056	2
9967	CA-2017-146374	12/5/2017	12/10/2017	Second Class	HE-14800	United States	Newark	Delaware	19711	East	OFF-EN-10004483	7
9966	CA-2017-146374	12/5/2017	12/10/2017	Second Class	HE-14800	United States	Newark	Delaware	19711	East	OFF-PA-10000349	1
9965	CA-2017-146374	12/5/2017	12/10/2017	Second Class	HE-14800	United States	Newark	Delaware	19711	East	FUR-FU-10002671	1
9941	CA-2017-169824	12/12/2017	12/17/2017	Standard Class	NS-18640	United States	New York City	New York	10009	East	OFF-AR-10000462	7
9940	CA-2017-169824	12/12/2017	12/17/2017	Standard Class	NS-18640	United States	New York City	New York	10009	East	OFF-SU-10000952	4
9939	CA-2017-169824	12/12/2017	12/17/2017	Standard Class	NS-18640	United States	New York City	New York	10009	East	FUR-FU-10004864	5
