Row ID	Order ID	Order Date	Ship Date	Ship Mode	Customer ID	Country	City	State	Postal Code	Region	Product ID	Quantity
9986	CA-2016-100251	5/17/2016	5/23/2016	Standard Class	DV-13465	United States	Long Beach	New York	11561	East	OFF-SU-10000898	4
9985	CA-2016-100251	5/17/2016	5/23/2016	Standard Class	DV-13465	United States	Long Beach	New York	11561	East	OFF-LA-10003766	10
9981	US-2016-151435	9/6/2016	9/9/2016	Second Class	SW-20455	United States	Lafayette	Louisiana	70506	South	FUR-TA-10001039	1
4	US-2016-108966	10/11/2016	10/18/2016	Standard Class	SO-20335	United States	Fort Lauderdale	Florida	33311	South	FUR-TA-10000577	5
5	US-2016-108966	10/11/2016	10/18/2016	Standard Class	SO-20335	United States	Fort Lauderdale	Florida	33311	South	OFF-ST-10000760	2
9972	CA-2016-103772	6/28/2016	7/2/2016	Standard Class	MP-17470	United States	Smyrna	Georgia	30080	South	OFF-AR-10000538	5
9971	CA-2016-103772	6/28/2016	7/2/2016	Standard Class	MP-17470	United States	Smyrna	Georgia	30080	South	OFF-BI-10002867	2
9964	CA-2016-143700	7/26/2016	7/26/2016	Same Day	AS-10240	United States	Philadelphia	Pennsylvania	19140	East	OFF-PA-10003072	2
9963	CA-2016-168088	3/19/2016	3/22/2016	First Class	CM-12655	United States	Houston	Texas	77041	Central	FUR-BO-10004218	4
9962	CA-2016-168088	3/19/2016	3/22/2016	First Class	CM-12655	United States	Houston	Texas	77041	Central	OFF-PA-10000675	2
9956	CA-2016-141593	12/14/2016	12/16/2016	Second Class	DB-12970	United States	Los Angeles	California	90045	West	FUR-TA-10002622	2
9955	CA-2016-141593	12/14/2016	12/16/2016	Second Class	DB-12970	United States	Los Angeles	California	90045	West	OFF-BI-10000948	3
9954	CA-2016-141593	12/14/2016	12/16/2016	Second Class	DB-12970	United States	Los Angeles	California	90045	West	OFF-PA-10004983	1
9953	CA-2016-141593	12/14/2016	12/16/2016	Second Class	DB-12970	United States	Los Angeles	California	90045	West	OFF-BI-10001153	2
15	US-2016-118983	11/22/2016	11/26/2016	Standard Class	HP-14815	United States	Fort Worth	Texas	76106	Central	OFF-AP-10002311	5
16	US-2016-118983	11/22/2016	11/26/2016	Standard Class	HP-14815	United States	Fort Worth	Texas	76106	Central	OFF-BI-10000756	3
9945	CA-2016-145415	4/12/2016	4/17/2016	Second Class	RD-19660	United States	Seattle	Washington	98103	West	OFF-ST-10000419	3
9933	CA-2016-104948	11/13/2016	11/17/2016	Standard Class	KH-16510	United States	San Bernardino	California	92404	West	OFF-PA-10004610	7
9932	CA-2016-104948	11/13/2016	11/17/2016	Standard Class	KH-16510	United States	San Bernardino	California	92404	West	FUR-BO-10004357	4
9931	CA-2016-104948	11/13/2016	11/17/2016	Standard Class	KH-16510	United States	San Bernardino	California	92404	West	OFF-BI-10001267	2
9928	CA-2016-159534	3/20/2016	3/23/2016	First Class	DH-13075	United States	New York City	New York	10035	East	OFF-ST-10001172	4
9927	CA-2016-159534	3/20/2016	3/23/2016	First Class	DH-13075	United States	New York City	New York	10035	East	TEC-PH-10002310	2
9926	CA-2016-159534	3/20/2016	3/23/2016	First Class	DH-13075	United States	New York City	New York	10035	East	OFF-BI-10003656	8
9925	CA-2016-159534	3/20/2016	3/23/2016	First Class	DH-13075	United States	New York City	New York	10035	East	OFF-EN-10004386	1
25	CA-2016-106320	9/25/2016	9/30/2016	Standard Class	EB-13870	United States	Orem	Utah	84057	West	FUR-TA-10000577	3
9924	CA-2016-159534	3/20/2016	3/23/2016	First Class	DH-13075	United States	New York City	New York	10035	East	OFF-BI-10003982	3
9919	CA-2016-105508	9/24/2016	9/29/2016	Standard Class	JF-15190	United States	New York City	New York	10035	East	OFF-EN-10003055	1
