Row ID	Order ID	Order Date	Ship Date	Ship Mode	Customer ID	Country	City	State	Postal Code	Region	Product ID	Quantity
9990	CA-2015-110422	1/21/2015	1/23/2015	Second Class	TB-21400	United States	Miami	Florida	33180	South	FUR-FU-10001889	3
9959	US-2015-143287	11/11/2015	11/17/2015	Standard Class	KN-16705	United States	New Rochelle	New York	10801	East	OFF-SU-10001574	2
9958	US-2015-143287	11/11/2015	11/17/2015	Standard Class	KN-16705	United States	New Rochelle	New York	10801	East	OFF-PA-10004039	4
9957	US-2015-143287	11/11/2015	11/17/2015	Standard Class	KN-16705	United States	New Rochelle	New York	10801	East	OFF-PA-10001776	5
9947	CA-2015-111157	3/2/2015	3/6/2015	Standard Class	NH-18610	United States	Philadelphia	Pennsylvania	19120	East	TEC-AC-10004353	3
6	CA-2015-115812	6/9/2015	6/14/2015	Standard Class	BH-11710	United States	Los Angeles	California	90032	West	FUR-FU-10001487	7
7	CA-2015-115812	6/9/2015	6/14/2015	Standard Class	BH-11710	United States	Los Angeles	California	90032	West	OFF-AR-10002833	4
8	CA-2015-115812	6/9/2015	6/14/2015	Standard Class	BH-11710	United States	Los Angeles	California	90032	West	TEC-PH-10002275	6
9	CA-2015-115812	6/9/2015	6/14/2015	Standard Class	BH-11710	United States	Los Angeles	California	90032	West	OFF-BI-10003910	3
10	CA-2015-115812	6/9/2015	6/14/2015	Standard Class	BH-11710	United States	Los Angeles	California	90032	West	OFF-AP-10002892	5
11	CA-2015-115812	6/9/2015	6/14/2015	Standard Class	BH-11710	United States	Los Angeles	California	90032	West	FUR-TA-10001539	9
12	CA-2015-115812	6/9/2015	6/14/2015	Standard Class	BH-11710	United States	Los Angeles	California	90032	West	TEC-PH-10002033	4
9946	CA-2015-111157	3/2/2015	3/6/2015	Standard Class	NH-18610	United States	Philadelphia	Pennsylvania	19120	East	OFF-PA-10000327	1
9944	CA-2015-143371	12/28/2015	1/3/2016	Standard Class	MD-17350	United States	Anaheim	California	92804	West	OFF-SU-10002537	5
9943	CA-2015-143371	12/28/2015	1/3/2016	Standard Class	MD-17350	United States	Anaheim	California	92804	West	OFF-ST-10001128	9
9934	CA-2015-166555	7/11/2015	7/14/2015	First Class	JK-15205	United States	Niagara Falls	New York	14304	East	TEC-PH-10004912	3
17	CA-2015-105893	11/11/2015	11/18/2015	Standard Class	PK-19075	United States	Madison	Wisconsin	53711	Central	OFF-ST-10004186	6
18	CA-2015-167164	5/13/2015	5/15/2015	Second Class	AG-10270	United States	West Jordan	Utah	84084	West	OFF-ST-10000107	2
19	CA-2015-143336	8/27/2015	9/1/2015	Second Class	ZD-21925	United States	San Francisco	California	94109	West	OFF-AR-10003056	2
20	CA-2015-143336	8/27/2015	9/1/2015	Second Class	ZD-21925	United States	San Francisco	California	94109	West	TEC-PH-10001949	3
21	CA-2015-143336	8/27/2015	9/1/2015	Second Class	ZD-21925	United States	San Francisco	California	94109	West	OFF-BI-10002215	4
9922	CA-2015-111360	11/24/2015	11/30/2015	Standard Class	AT-10435	United States	Akron	Ohio	44312	East	OFF-BI-10003350	3
9912	US-2015-157231	4/5/2015	4/9/2015	Standard Class	RP-19855	United States	Richmond	Kentucky	40475	South	OFF-BI-10002852	7
9905	CA-2015-122609	11/12/2015	11/18/2015	Standard Class	DP-13000	United States	Carrollton	Texas	75007	Central	TEC-AC-10002567	2
9904	CA-2015-122609	11/12/2015	11/18/2015	Standard Class	DP-13000	United States	Carrollton	Texas	75007	Central	FUR-FU-10004587	3
